Date;Alert;numError;P - value
29-05-2020;0;2;0,41
28-05-2020;0;2;0,41
27-05-2020;0;3;0,18
26-05-2020;0;1;0,29
25-05-2020;1;5;0,02
21-05-2020;0;1;0,30
18-05-2020;0;1;0,30
16-05-2020;0;3;0,21
15-05-2020;0;3;0,21
14-05-2020;0;2;0,44
13-05-2020;0;1;0,29
12-05-2020;0;3;0,22
11-05-2020;0;3;0,23
10-05-2020;0;2;0,46
09-05-2020;0;2;0,46
08-05-2020;0;3;0,24
06-05-2020;0;1;0,26
04-05-2020;0;1;0,27
01-05-2020;0;2;0,46
30-04-2020;0;2;0,45
28-04-2020;0;1;0,28
24-04-2020;0;1;0,28
23-04-2020;0;2;0,45
22-04-2020;0;1;0,28
21-04-2020;0;2;0,45
20-04-2020;0;1;0,27
19-04-2020;0;1;0,28
18-04-2020;0;2;0,43
17-04-2020;0;1;0,28
16-04-2020;0;3;0,20
15-04-2020;0;1;0,28
14-04-2020;0;2;0,44
13-04-2020;0;2;0,44
11-04-2020;0;1;0,26
10-04-2020;0;1;0,27
08-04-2020;0;1;0,27
05-04-2020;0;2;0,43
04-04-2020;0;3;0,18
03-04-2020;0;1;0,27
02-04-2020;0;1;0,27
31-03-2020;0;1;0,27
29-03-2020;0;3;0,19
28-03-2020;0;2;0,43
27-03-2020;0;1;0,27
26-03-2020;0;1;0,27
25-03-2020;0;2;0,43
23-03-2020;0;2;0,43
22-03-2020;0;2;0,43
21-03-2020;0;1;0,27
20-03-2020;0;1;0,27
18-03-2020;0;2;0,43
16-03-2020;0;2;0,43
15-03-2020;0;1;0,26
14-03-2020;0;2;0,43
13-03-2020;0;1;0,27
12-03-2020;0;1;0,27
11-03-2020;0;2;0,43
09-03-2020;0;1;0,27
07-03-2020;0;2;0,40
05-03-2020;0;1;0,27
04-03-2020;0;1;0,27
03-03-2020;0;1;0,27
01-03-2020;0;1;0,27
29-02-2020;0;1;0,28
28-02-2020;0;1;0,29
27-02-2020;1;4;0,03
26-02-2020;0;3;0,14
24-02-2020;1;5;0,01
23-02-2020;0;2;0,39
22-02-2020;0;1;0,30
21-02-2020;1;4;0,04
20-02-2020;0;1;0,29
19-02-2020;0;1;0,29
16-02-2020;0;1;0,30
14-02-2020;0;1;0,31
13-02-2020;0;1;0,31
12-02-2020;0;1;0,31
11-02-2020;0;1;0,32
10-02-2020;0;1;0,32
08-02-2020;0;3;0,12
07-02-2020;0;2;0,34
06-02-2020;0;1;0,33
05-02-2020;0;2;0,33
03-02-2020;0;1;0,32
02-02-2020;0;1;0,33
31-01-2020;0;2;0,33
30-01-2020;0;1;0,33
28-01-2020;0;1;0,33
27-01-2020;0;2;0,33
26-01-2020;0;1;0,33
25-01-2020;1;4;0,04
24-01-2020;0;2;0,35
22-01-2020;0;1;0,33
21-01-2020;0;2;0,35
20-01-2020;0;1;0,33
18-01-2020;0;3;0,13
17-01-2020;0;2;0,35
16-01-2020;0;1;0,33
13-01-2020;0;3;0,14
12-01-2020;0;2;0,36
11-01-2020;0;3;0,15
10-01-2020;0;1;0,31
09-01-2020;0;1;0,32
07-01-2020;0;2;0,36
05-01-2020;0;3;0,15
04-01-2020;0;3;0,16
03-01-2020;0;1;0,31
02-01-2020;0;3;0,16
01-01-2020;0;3;0,17
31-12-2019;0;2;0,39
30-12-2019;0;2;0,40
29-12-2019;0;1;0,30
27-12-2019;0;1;0,31
26-12-2019;0;1;0,31
24-12-2019;0;1;0,31
22-12-2019;0;1;0,31
20-12-2019;0;1;0,32
19-12-2019;0;4;0,06
17-12-2019;0;1;0,32
16-12-2019;0;3;0,18
15-12-2019;0;2;0,40
14-12-2019;0;1;0,31
13-12-2019;0;3;0,19
12-12-2019;0;1;0,31
11-12-2019;0;1;0,31
10-12-2019;0;1;0,31
08-12-2019;0;1;0,31
07-12-2019;0;1;0,31
06-12-2019;0;3;0,20
